iter	Passed	Remaining
0	1	124
1	2	124
2	3	119
3	4	113
4	5	113
5	7	110
6	8	107
7	9	105
8	10	103
9	11	102
10	12	100
11	13	99
12	14	98
13	15	96
14	16	95
15	17	93
16	18	91
17	19	90
18	20	89
19	22	88
20	23	86
21	24	85
22	25	84
23	26	83
24	27	82
25	28	81
26	29	80
27	30	79
28	31	78
29	32	76
30	34	75
31	35	74
32	36	75
33	38	75
34	40	74
35	42	74
36	43	74
37	45	74
38	46	73
39	48	72
40	50	72
41	50	70
42	52	69
43	54	69
44	56	68
45	57	67
46	59	67
47	61	66
48	63	65
49	64	64
50	66	63
51	68	63
52	70	62
53	71	61
54	72	59
55	74	58
56	75	57
57	77	56
58	79	55
59	81	54
60	82	52
61	84	51
62	86	50
63	87	49
64	89	48
65	91	46
66	92	45
67	94	44
68	96	43
69	98	42
70	99	40
71	101	39
72	102	38
73	104	36
74	106	35
75	108	34
76	110	32
77	111	31
78	113	30
79	115	28
80	116	27
81	118	26
82	120	24
83	121	23
84	123	21
85	125	20
86	127	19
87	129	17
88	131	16
89	133	14
90	135	13
91	137	11
92	140	10
93	142	9
94	144	7
95	147	6
96	150	4
97	152	3
98	155	1
99	158	0
