iter	Passed	Remaining
0	166	166010
1	169	84445
2	170	56817
3	173	43133
4	174	34786
5	176	29199
6	178	25370
7	180	22399
8	182	20090
9	185	18380
10	187	16818
11	188	15531
12	189	14413
13	192	13546
14	194	12794
15	197	12121
16	199	11527
17	201	10973
18	202	10474
19	205	10064
20	207	9670
21	209	9292
22	210	8940
23	211	8616
24	214	8351
25	215	8076
26	218	7890
27	220	7663
28	222	7445
29	223	7237
30	225	7043
31	227	6882
32	229	6720
33	231	6585
34	233	6438
35	235	6303
36	237	6174
37	238	6041
38	240	5928
39	242	5814
40	244	5726
41	246	5624
42	248	5527
43	249	5427
44	251	5334
45	252	5245
46	255	5175
47	257	5109
48	260	5047
49	261	4974
50	263	4899
51	264	4826
52	266	4755
53	267	4688
54	270	4640
55	273	4608
56	275	4554
57	276	4494
58	278	4443
59	280	4387
60	281	4333
61	284	4310
62	287	4276
63	289	4233
64	291	4187
65	292	4142
66	295	4112
67	296	4064
68	299	4043
69	302	4015
70	304	3980
71	305	3937
72	306	3897
73	308	3857
74	309	3820
75	311	3788
76	315	3781
77	317	3748
78	318	3713
79	319	3676
80	320	3640
81	322	3606
82	322	3565
83	324	3533
84	326	3515
85	328	3492
86	330	3467
87	332	3440
88	333	3413
89	334	3386
90	336	3358
91	338	3340
92	341	3334
93	343	3313
94	345	3290
95	347	3269
96	348	3248
97	350	3225
98	351	3202
99	354	3190
100	356	3172
101	357	3150
102	359	3127
103	360	3107
104	361	3085
105	363	3065
106	364	3043
107	366	3024
108	368	3009
109	370	2995
110	372	2979
111	373	2962
112	375	2944
113	376	2927
114	378	2912
115	380	2897
116	382	2884
117	384	2872
118	385	2855
119	387	2838
120	388	2821
121	389	2803
122	391	2789
123	392	2774
124	394	2758
125	396	2747
126	397	2732
127	399	2720
128	400	2705
129	401	2690
130	403	2677
131	404	2661
132	406	2647
133	407	2634
134	410	2630
135	412	2620
136	414	2608
137	415	2596
138	417	2585
139	418	2573
140	420	2560
141	421	2545
142	423	2537
143	425	2529
144	427	2519
145	428	2509
146	430	2500
147	432	2487
148	433	2476
149	434	2464
150	436	2453
151	438	2449
152	440	2440
153	442	2432
154	444	2422
155	445	2412
156	447	2401
157	448	2391
158	450	2381
159	452	2376
160	453	2365
161	455	2356
162	457	2347
163	458	2338
164	460	2329
165	461	2320
166	463	2312
167	466	2311
168	469	2306
169	470	2298
170	472	2290
171	473	2281
172	475	2272
173	476	2263
174	478	2254
175	480	2249
176	484	2254
177	486	2247
178	488	2241
179	490	2234
180	492	2227
181	495	2226
182	497	2220
183	500	2218
184	502	2212
185	503	2205
186	507	2205
187	509	2200
188	511	2196
189	513	2189
190	515	2182
191	516	2175
192	518	2169
193	520	2163
194	523	2160
195	525	2155
196	526	2147
197	528	2140
198	529	2132
199	531	2126
200	533	2120
201	535	2115
202	538	2113
203	540	2109
204	541	2101
205	543	2094
206	544	2086
207	546	2079
208	547	2073
209	550	2070
210	552	2066
211	554	2059
212	555	2052
213	557	2046
214	558	2039
215	560	2032
216	562	2028
217	565	2030
218	568	2025
219	570	2021
220	571	2015
221	573	2008
222	574	2002
223	576	1998
224	579	1994
225	580	1989
226	582	1985
227	584	1978
228	585	1972
229	587	1966
230	588	1959
231	590	1955
232	592	1951
233	594	1946
234	597	1943
235	598	1938
236	600	1933
237	602	1928
238	603	1922
239	605	1918
240	607	1913
241	610	1911
242	612	1908
243	614	1903
244	615	1898
245	617	1893
246	620	1892
247	623	1890
248	625	1887
249	628	1884
250	629	1879
251	631	1873
252	633	1869
253	635	1866
254	637	1862
255	638	1856
256	640	1853
257	642	1847
258	643	1842
259	645	1837
260	647	1833
261	649	1828
262	650	1823
263	652	1818
264	653	1812
265	655	1807
266	657	1805
267	658	1799
268	662	1799
269	663	1794
270	665	1790
271	667	1785
272	668	1780
273	670	1775
274	672	1772
275	673	1767
276	676	1765
277	678	1760
278	679	1756
279	681	1752
280	683	1747
281	684	1743
282	686	1739
283	688	1735
284	691	1733
285	693	1730
286	694	1725
287	695	1720
288	697	1716
289	699	1711
290	700	1707
291	702	1703
292	704	1701
293	707	1697
294	708	1692
295	709	1688
296	711	1683
297	712	1679
298	714	1675
299	716	1671
300	718	1668
301	720	1664
302	721	1660
303	723	1655
304	724	1651
305	726	1647
306	727	1642
307	729	1638
308	732	1636
309	733	1633
310	735	1629
311	737	1626
312	739	1622
313	740	1618
314	742	1613
315	744	1610
316	747	1610
317	749	1607
318	751	1603
319	752	1599
320	753	1594
321	755	1590
322	756	1585
323	758	1582
324	761	1580
325	763	1578
326	765	1575
327	767	1571
328	768	1567
329	770	1563
330	772	1561
331	774	1558
332	776	1555
333	778	1552
334	780	1548
335	781	1544
336	783	1540
337	784	1536
338	786	1534
339	789	1532
340	791	1529
341	793	1525
342	794	1522
343	796	1518
344	797	1514
345	799	1511
346	802	1509
347	803	1505
348	805	1501
349	806	1498
350	808	1494
351	809	1490
352	810	1486
353	812	1483
354	814	1480
355	816	1477
356	818	1475
357	820	1471
358	822	1468
359	824	1465
360	826	1462
361	828	1460
362	830	1457
363	832	1455
364	834	1452
365	836	1448
366	837	1444
367	839	1442
368	843	1442
369	845	1440
370	847	1437
371	850	1435
372	851	1431
373	853	1428
374	855	1425
375	857	1422
376	859	1419
377	861	1417
378	862	1413
379	863	1409
380	865	1406
381	867	1404
382	873	1406
383	875	1404
384	876	1400
385	878	1397
386	880	1394
387	881	1391
388	886	1392
389	888	1390
390	890	1387
391	892	1383
392	893	1380
393	895	1376
394	897	1373
395	899	1371
396	901	1369
397	903	1366
398	905	1363
399	907	1360
400	909	1358
401	910	1354
402	912	1352
403	914	1348
404	953	1400
405	988	1446
406	990	1443
407	992	1439
408	994	1437
409	996	1433
410	997	1429
411	999	1426
412	1001	1422
413	1002	1418
414	1003	1414
415	1010	1418
416	1012	1416
417	1015	1414
418	1018	1412
419	1022	1412
420	1026	1412
421	1029	1409
422	1032	1408
423	1035	1406
424	1038	1404
425	1043	1405
426	1044	1402
427	1046	1398
428	1047	1394
429	1049	1390
430	1051	1388
431	1053	1385
432	1055	1382
433	1057	1379
434	1058	1375
435	1060	1372
436	1062	1368
437	1064	1365
438	1067	1364
439	1070	1362
440	1072	1359
441	1074	1356
442	1076	1353
443	1077	1349
444	1080	1347
445	1083	1345
446	1084	1342
447	1086	1338
448	1088	1335
449	1090	1332
450	1091	1328
451	1092	1324
452	1097	1325
453	1099	1322
454	1100	1318
455	1102	1315
456	1103	1311
457	1105	1307
458	1106	1304
459	1110	1303
460	1113	1302
461	1115	1298
462	1116	1295
463	1118	1292
464	1120	1289
465	1124	1288
